"","MAC_ID","fullSpecies","SEX_ID","Common_name","Population_1","Pop_code","Latitude","Longitude","LatLongEst","Elevation","Years","Year_1","Year_final","Breeding_Cycle","Moult","Life_Stage","BC_Mean","BC_SE","BC_SE2","BC_CV","BC_N","BC_SD","BC_Min","BC_Max","MaxLate_Cort","MaxLate_Cort_estimated","SC_Mean","SC_SE","SC_SE2","SC_CV","SC_N","SC_SD","SC_Min","SC_Max","LateStressCort","Lab_ID","HomeRange_Mean_Ha","Carnivore","Herbivore","Omnivore","meanMass","bin","nlcd_year","percent_preferred","species","lab","homerange","diet","sex","Ref_ID","fullspeciesBT"
"1",100,"Calidris pusilla","100f","Semi-palmated sandpiper","Seward Peninsula, Nome, Alaska, USA","Calidris pusilla3",64.43422,-164.933,"Reported",0,"1993",1993,1993,"Breeding","null","Incubation",29.7,5.1,26.01,51.51515,9,15.3,NA,NA,3,"N",95.8,11.99,143.7601,37.54697,9,35.96999726,NA,NA,30,"Wingfield",1963,1,0,0,32.3,1000,2001,0.949,"Calidris pusilla","Wingfield",1963,"C","F",286,"Calidris_pusilla"
"2",100,"Calidris pusilla","100m","Semi-palmated sandpiper","Seward Peninsula, Nome, Alaska, USA","Calidris pusilla3",64.43422,-164.933,"Reported",0,"1997-2002",1997,2002,"Breeding","null","Incubation",21.72,3.43,11.7649,38.68209,6,8.401749818,NA,NA,3,"N",92.02,13.13,172.3969,34.95088,6,32.16179978,NA,NA,30,"Wingfield",1963,1,0,0,32.3,1000,2001,0.949,"Calidris pusilla","Wingfield",1963,"C","M",286,"Calidris_pusilla"
"3",101,"Callipepla gambelii","101f","Gambel's quail","Phoenix, Arizona, USA","Callipepla gambelii1",33.52837,-112.076,"Reported",340,"1990",1990,1990,"Breeding","null","null",4.076667,1.2895,1.66281025,54.78692,3,2.233479516,2.12,6.51,2,"N",37.87333,5.408294,29.24964399,24.7336,3,9.367437949,27.14,44.4,52.5,"Wingfield",23,0,0,1,167.4,100,1992,0.02,"Callipepla gambelii","Wingfield",23,"AO","F",648,"Callipepla_gambelii"
"4",102,"Campylorhynchus brunneicapillus","102f","Cactus wren","Sonoran Desert, Arizona, USA","Campylorhynchus brunneicapillus1",32.69071,-111.261,"Reported",641,"1989",1989,1989,"Breeding","null","null",5.4,1.967514,3.87111134,63.10804,3,3.407834213,3.3,9.3,2,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wingfield",1.5,0,0,1,38.9,10,1992,1,"Campylorhynchus brunneicapillus","Wingfield",1.5,"AO","F",648,"Campylorhynchus_brunneicapillus"
"5",102,"Campylorhynchus brunneicapillus","102m","Cactus wren","Sonoran Desert, Arizona, USA","Campylorhynchus brunneicapillus1",32.69071,-111.261,"Reported",641,"1982-1984",1982,1984,"Breeding","null","null",3.5,0.872735,0.76166638,49.87058,4,1.74547,1.3,5,2,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wingfield",1.5,0,0,1,38.9,10,1992,1,"Campylorhynchus brunneicapillus","Wingfield",1.5,"AO","M",648,"Campylorhynchus_brunneicapillus"
"6",103,"Campylorhynchus brunneicapillus","103m","Cactus wren","Sonoran Desert, Arizona, USA","Campylorhynchus brunneicapillus1",32.76063,-111.203,"Reported",641,"1982-1984",1982,1984,"Nonbreeding","null","null",8.6,2.7,7.29,44.39973,2,3.818376618,5.9,11.3,2,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wingfield",1.5,0,0,1,38.9,10,1992,1,"Campylorhynchus brunneicapillus","Wingfield",1.5,"AO","M",648,"Campylorhynchus_brunneicapillus"
"7",103,"Campylorhynchus brunneicapillus","103f","Cactus wren","Sonoran Desert, Arizona, USA","Campylorhynchus brunneicapillus1",32.76063,-111.203,"Reported",641,"1989",1989,1989,"Nonbreeding","null","null",6.9,2.343075,5.490000456,58.8163,3,4.058324946,3,11.1,2,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wingfield",1.5,0,0,1,38.9,10,1992,1,"Campylorhynchus brunneicapillus","Wingfield",1.5,"AO","F",648,"Campylorhynchus_brunneicapillus"
"8",108,"Cardinalis cardinalis","108m","Northern cardinal","Fort Hood, Texas, USA","Cardinalis cardinalis1",31.2,-97.8,"Reported",300,"1982-1984",1982,1984,"Breeding","null","null",2.15,4,16,644.484,12,13.85640646,NA,NA,3,"N",38.98,4.04,16.3216,35.90295,12,13.99496991,NA,NA,30,"Romero",1.2,0,0,1,45.1,10,2011,0.983,"Cardinalis cardinalis","Romero",1.2,"AO","M",7,"Cardinalis_cardinalis"
"9",109,"Cardinalis cardinalis","109m","Northern cardinal","Fort Hood, Texas, USA","Cardinalis cardinalis1",31.2,-97.8,"Reported",300,"1982-1984",1982,1984,"Breeding","null","null",2,3.38,11.4244,676,16,13.52,NA,NA,3,"N",32.77,3.49,12.1801,41.24721,15,13.51671072,NA,NA,30,"Romero",1.2,0,0,1,45.1,10,2011,0.983,"Cardinalis cardinalis","Romero",1.2,"AO","M",7,"Cardinalis_cardinalis"
"10",110,"Carduelis hornemanni","110m","Hoary redpoll","Barrow, Alaska, USA","Carduelis hornemanni1",71.323,-156.609,"Reported",2,"1982-1984",1982,1984,"Breeding","null","null",8.976471,0.946211,0.895315257,43.4617,17,3.901327897,3.5,18.9,3,"N",27.78824,2.18589,4.778115092,32.43335,17,9.012657138,12.7,46.3,35,"Wingfield",3000,0,0,1,12.7,1000,2001,0.163,"Carduelis hornemanni","Wingfield",3000,"AO","M",648,"Carduelis_hornemanni"
